dataset,term,method,retrieval_scope,aligned_datastore,neighbor_query_scale,retrieval_representation,alignment_period,fallback_method,inference_seconds,tsrag_weight,validation_dates,fallback_count,fallback_grid_rows,task_error,datastore_preprocessing_seconds,fallback_rate,MSE_mean,MSE_variance,MSE_std,MSE_dispersion_ddof,MSE_finite_values,MSE_evaluation_values,MSE_total_values,MAE_mean,MAE_variance,MAE_std,MAE_dispersion_ddof,MAE_finite_values,MAE_evaluation_values,MAE_total_values,RMSE_mean,RMSE_variance,RMSE_std,RMSE_dispersion_ddof,RMSE_finite_values,RMSE_evaluation_values,RMSE_total_values,MAPE_mean,MAPE_variance,MAPE_std,MAPE_dispersion_ddof,MAPE_finite_values,MAPE_evaluation_values,MAPE_total_values,sMAPE_mean,sMAPE_variance,sMAPE_std,sMAPE_dispersion_ddof,sMAPE_finite_values,sMAPE_evaluation_values,sMAPE_total_values,MASE_mean,MASE_variance,MASE_std,MASE_dispersion_ddof,MASE_finite_values,MASE_evaluation_values,MASE_total_values,ND_mean,ND_variance,ND_std,ND_dispersion_ddof,ND_finite_values,ND_evaluation_values,ND_total_values,CRPS_mean,CRPS_variance,CRPS_std,CRPS_dispersion_ddof,CRPS_finite_values,CRPS_evaluation_values,CRPS_total_values,seasonal_MASE_mean,seasonal_MASE_variance,scaled_MASE_mean,scaled_MASE_std,scaled_MASE_variance,MASE_variance_ratio_to_seasonal
Water_Quality_Darwin/15T,short,chronos_t5_512,,,,,,,129.46195519063622,,,0,3780,,0,0.0,2.8079023616977,317.19635428564436,17.81000713884316,0,3780,3780,3780,0.547222418077096,1.7241834424158586,1.313081658700577,0,3780,3780,3780,0.6476384971443824,2.388466738714266,1.5454665116767383,0,3780,3780,3780,0.06694743922991968,0.020789606607063308,0.14418601390933625,0,3780,3780,3780,0.06405343650593572,0.013845896671077128,0.1176685882938906,0,3780,3780,3780,1.1481931317106775,1.6274345074836238,1.275709413418128,0,3780,3780,3780,0.06473722315814621,0.01484246540243702,0.12182965731888529,0,3780,3780,3780,0.06473722315814621,0.01484246540243702,0.12182965731888529,0,3780,3780,3780,1.0871610587899843,1.3381496638898256,1.0561389431926693,1.1734318508777337,1.3769423086543437,1.216182727089648
Water_Quality_Darwin/15T,short,chronos_bolt_512,,,,,,,2.1280566537752748,,,0,3780,,0,0.0,2.5073397610073216,271.7186856381344,16.483891701844392,0,3780,3780,3780,0.49300007026894366,1.6020231906624618,1.2657105477408577,0,3780,3780,3780,0.5843026541808606,2.165930169324523,1.4717099474164477,0,3780,3780,3780,0.0643110514082844,0.01762008789572495,0.13274067912936466,0,3780,3780,3780,0.06117972725278221,0.01258234845467838,0.11217106781464808,0,3780,3780,3780,0.6782083144130507,0.7285876020622861,0.8535734309725708,0,3780,3780,3780,0.06204521135046548,0.013700645631486074,0.11704975707572432,0,3780,3780,3780,0.06204521135046548,0.013700645631486074,0.11704975707572432,0,3780,3780,3780,1.0871610587899843,1.3381496638898256,0.6238342598178599,0.7851398135273556,0.6164445267857709,0.5444739267387906
Water_Quality_Darwin/15T,short,chronos_bolt_max,,,,,,,4.093714716844261,,,0,3780,,0,0.0,2.48605301458497,296.6890804620419,17.224664886784936,0,3780,3780,3780,0.4787444428658472,1.6018863683608715,1.2656564969852095,0,3780,3780,3780,0.5675718864313799,2.1639151683176947,1.4710252099531451,0,3780,3780,3780,0.060436745134990456,0.015061945729579918,0.1227271189655323,0,3780,3780,3780,0.05742912408968257,0.010724405364757519,0.10355870492024086,0,3780,3780,3780,0.6716427228108365,0.713415739303938,0.8446394137760432,0,3780,3780,3780,0.05833080143492809,0.011970199691223897,0.10940840777208988,0,3780,3780,3780,0.05833080143492809,0.011970199691223897,0.10940840777208988,0,3780,3780,3780,1.0871610587899843,1.3381496638898256,0.6177950519662452,0.7769220640740491,0.6036078936450808,0.5331359851260075
Water_Quality_Darwin/15T,short,chronos2_max,,,,,,,16.82729710545391,,,0,3780,,0,0.0,2.043003773381203,248.19314565155312,15.754146935062943,0,3780,3780,3780,0.4198844377046988,1.3050120342954117,1.1423712331354514,0,3780,3780,3780,0.5028248445375615,1.79017094909698,1.3379727011777856,0,3780,3780,3780,0.0526729952346271,0.013987619557392974,0.11826926717196219,0,3780,3780,3780,0.0497206666135044,0.008401816979903751,0.09166142580117195,0,3780,3780,3780,0.6095422683374909,0.5754183740405062,0.7585633619154739,0,3780,3780,3780,0.050587885442001594,0.00972431935534646,0.09861196355081091,0,3780,3780,3780,0.050587885442001594,0.00972431935534646,0.09861196355081091,0,3780,3780,3780,1.0871610587899843,1.3381496638898256,0.560673382668723,0.6977469950586335,0.4868508691133527,0.4300104760836994
Water_Quality_Darwin/15T,short,tsrag,all,False,False,t5,96,chronos_bolt_max,190.30025676824152,,,1,3780,,1104.7737361108884,0.00026455026455026457,2.4780147504459373,281.9088092856309,16.790140240201417,0,3780,3780,3780,0.4865040384064713,1.578954505753079,1.2565645648963204,0,3780,3780,3780,0.5778323789120398,2.14412449232679,1.464282927690817,0,3780,3780,3780,0.06357382489580281,0.017272913570354365,0.13142645688884094,0,3780,3780,3780,0.06081683331095952,0.012442539290352599,0.11154613077266552,0,3780,3780,3780,0.6741238347231732,0.7161797726118566,0.8462740529000382,0,3780,3780,3780,0.06146756161164247,0.01335016657645087,0.1155429209274669,0,3780,3780,3780,0.06146756161164247,0.01335016657645087,0.1155429209274669,0,3780,3780,3780,1.0871610587899843,1.3381496638898256,0.6200772454759154,0.7784256491323792,0.6059464912271659,0.535201548778943
Water_Quality_Darwin/15T,short,bayes_mixture,,,,,,chronos_bolt_max,207.1297252709046,0.34651898734177217,630,0,3780,,0,0.0,2.0621560218542454,245.0571905230283,15.654302620143394,0,3780,3780,3780,0.4244740821130333,1.320997183441795,1.1493464157693254,0,3780,3780,3780,0.5070614380412012,1.805044719905834,1.3435195271769718,0,3780,3780,3780,0.0538200710787494,0.01388252275616387,0.11782411788833333,0,3780,3780,3780,0.050998447019856286,0.00878439302510051,0.0937250928252435,0,3780,3780,3780,0.6037295970504433,0.5853321811389999,0.7650700498248509,0,3780,3780,3780,0.051762083375593106,0.0098787696534808,0.09939199994708225,0,3780,3780,3780,0.051762083375593106,0.0098787696534808,0.09939199994708225,0,3780,3780,3780,1.0871610587899843,1.3381496638898256,0.5553267311858993,0.7037320217083362,0.4952387583777021,0.43741906973059796
Water_Quality_Darwin/15T,medium,chronos_t5_512,,,,,,,99.05109934974462,,,0,630,,0,0.0,5.145699318329644,529.965528722139,23.020980185955136,0,630,630,630,0.8142818647652037,2.6831027690354494,1.6380179391677765,0,630,630,630,1.0134878188511252,4.118541759370034,2.0294190694309626,0,630,630,630,0.10244045072998116,0.03417698377818342,0.18487018087886273,0,630,630,630,0.09204986973980606,0.021107644916671105,0.1452847029685889,0,630,630,630,1.5398673012049557,1.6238407212986514,1.2743000907551767,0,630,630,630,0.09293766317925176,0.022299025581813788,0.14932858260163653,0,630,630,630,0.09293766317925176,0.022299025581813788,0.14932858260163653,0,630,630,630,1.0892248555624096,0.8662032158339698,1.4137276553516231,1.1699146271292216,1.3687002347709056,1.8746648495587004
Water_Quality_Darwin/15T,medium,chronos_bolt_512,,,,,,,1.683012438006699,,,0,630,,0,0.0,3.930160375651062,267.9133012888823,16.368057346211927,0,630,630,630,0.6895426640509515,2.034328617254523,1.4262989228259702,0,630,630,630,0.8687784313763515,3.175384412826308,1.781960833695934,0,630,630,630,0.09694527412723015,0.03434178601351364,0.18531536906990106,0,630,630,630,0.08432904021026807,0.018625455715522696,0.13647511024184114,0,630,630,630,1.0083167476912387,0.7978265094500515,0.8932113464628915,0,630,630,630,0.08716620579514942,0.022744748752507947,0.15081362256940833,0,630,630,630,0.08716620579514942,0.022744748752507947,0.15081362256940833,0,630,630,630,1.0892248555624096,0.8662032158339698,0.925719554178375,0.8200431177286084,0.6724707149340562,0.9210615879345518
Water_Quality_Darwin/15T,medium,chronos_bolt_max,,,,,,,6.050435446202755,,,0,630,,0,0.0,3.7326111402683675,297.8910729403874,17.25952122569996,0,630,630,630,0.6411112742956167,1.9052870777954456,1.380321367579103,0,630,630,630,0.8156034324246739,3.067402181285458,1.7514000631738764,0,630,630,630,0.082025363370173,0.02157639464376244,0.14688905556154427,0,630,630,630,0.07488747820274688,0.014293957705983426,0.11955734066122174,0,630,630,630,0.9366178700006613,0.7119858910042999,0.8437925639659903,0,630,630,630,0.07504074476218647,0.015047329487757855,0.12266755678563854,0,630,630,630,0.07504074476218647,0.015047329487757855,0.12266755678563854,0,630,630,630,1.0892248555624096,0.8662032158339698,0.8598939559794095,0.774672520239457,0.6001175136141519,0.8219617267511627
Water_Quality_Darwin/15T,medium,chronos2_max,,,,,,,2.8383708503097296,,,0,630,,0,0.0,3.356499681911157,334.4480779338773,18.28792164063148,0,630,630,630,0.5678276312331102,1.7157718920839313,1.3098747619844926,0,630,630,630,0.7336453662458945,2.8182641584970844,1.678768643529264,0,630,630,630,0.06854437002225369,0.014745502785797615,0.12143106186556064,0,630,630,630,0.0642191683415395,0.010646739222229109,0.10318303747336142,0,630,630,630,0.8815112751312864,0.7740750744312059,0.8798153638299379,0,630,630,630,0.0632396525647071,0.010309859456907336,0.10153747809014825,0,630,630,630,0.0632396525647071,0.010309859456907336,0.10153747809014825,0,630,630,630,1.0892248555624096,0.8662032158339698,0.8093014684980977,0.8077444793303533,0.6524511438886637,0.893641423030202
Water_Quality_Darwin/15T,medium,tsrag,all,False,False,t5,96,chronos_bolt_max,76.55274535529315,,,0,630,,1076.848914260976,0.0,3.9360781609575994,285.0879859277188,16.884548733315878,0,630,630,630,0.6889999104137601,1.9588940836677033,1.399604974150815,0,630,630,630,0.8742801565774996,3.1717123687724222,1.780930197613714,0,630,630,630,0.09457224121423527,0.031240263671851565,0.17674915465668165,0,630,630,630,0.08359933737003078,0.01800221499540985,0.13417233319656421,0,630,630,630,1.0102624741556847,0.7742837805924354,0.8799339637679838,0,630,630,630,0.0855917573913697,0.020895366871727414,0.14455229805066197,0,630,630,630,0.0855917573913697,0.020895366871727414,0.14455229805066197,0,630,630,630,1.0892248555624096,0.8662032158339698,0.927505894670432,0.8078533640454242,0.6526270577995086,0.8938823666764669
Water_Quality_Darwin/15T,medium,bayes_mixture,,,,,,chronos_bolt_max,79.39148169197142,0.16822429906542055,105,0,630,,0,0.0,3.285521096385626,306.6153288208196,17.510434855274713,0,630,630,630,0.567969708197992,1.661545822730284,1.289009628641417,0,630,630,630,0.7333507187215215,2.7477178197362537,1.6576241491171193,0,630,630,630,0.06961116129948412,0.015368108189423638,0.12396817409893411,0,630,630,630,0.06453014386594444,0.01065616743891874,0.1032287142171147,0,630,630,630,0.8757795644956876,0.7424178336652407,0.861636717918428,0,630,630,630,0.06382723560169451,0.010509991392548776,0.1025182490708302,0,630,630,630,0.06382723560169451,0.010509991392548776,0.1025182490708302,0,630,630,630,1.0892248555624096,0.8662032158339698,0.8040392762093996,0.7910549539135618,0.6257679401111875,0.8570942939186044
Water_Quality_Darwin/15T,long,chronos_t5_512,,,,,,,97.22245355509222,,,0,210,,0,0.0,12.26495031966626,5046.800641698896,71.0408378448544,0,210,210,210,1.189689779488349,7.037503432934039,2.652829326009127,0,210,210,210,1.4679900080699955,10.109955655872916,3.179615645934728,0,210,210,210,0.15705615636779402,0.09785053868405108,0.31281070743190853,0,210,210,210,0.13070584722999354,0.04408520126375508,0.2099647619572272,0,210,210,210,2.0770804218489114,2.820464918999572,1.6794239842873424,0,210,210,210,0.1351746687168509,0.05823473440876633,0.24131874027676825,0,210,210,210,0.1351746687168509,0.05823473440876633,0.24131874027676825,0,210,210,210,1.591229713377238,1.5257973604856987,1.3053303394143516,1.0554252287829142,1.113922413551467,1.8485186775403444
Water_Quality_Darwin/15T,long,chronos_bolt_512,,,,,,,1.9003510074689984,,,0,210,,0,0.0,6.747113850500989,793.9351810573243,28.176855414636393,0,210,210,210,0.9634038547507189,3.1146292041646304,1.7648312112393725,0,210,210,210,1.2245193723416057,5.24766615726111,2.290778504626999,0,210,210,210,0.14897444507741756,0.09082768427491945,0.301376316712046,0,210,210,210,0.11877804696669063,0.036937948725021236,0.19219247832582115,0,210,210,210,1.4878693527168032,1.567793998933123,1.2521158089143045,0,210,210,210,0.12597746990268313,0.05181734302090965,0.22763423077584277,0,210,210,210,0.12597746990268313,0.05181734302090965,0.22763423077584277,0,210,210,210,1.591229713377238,1.5257973604856987,0.9350437213486531,0.7868856384392198,0.6191890079818984,1.027524387926622
Water_Quality_Darwin/15T,long,chronos_bolt_max,,,,,,,7.3509704833850265,,,0,210,,0,0.0,8.627233667155702,1972.3585522914132,44.41124353462097,0,210,210,210,0.9885113809355461,4.592968839884914,2.143121284455202,0,210,210,210,1.246140515945102,7.074367481675776,2.6597683135333003,0,210,210,210,0.13233976789590426,0.07462887271284376,0.273182855817937,0,210,210,210,0.10980295500136371,0.03213644851840946,0.17926641770953494,0,210,210,210,1.4995830492022377,1.63422301421295,1.278367323664427,0,210,210,210,0.11187146308183972,0.03628916385092444,0.19049714919369382,0,210,210,210,0.11187146308183972,0.03628916385092444,0.19049714919369382,0,210,210,210,1.591229713377238,1.5257973604856987,0.942405132706774,0.8033832657330227,0.6454246716598564,1.0710616340906087
